@relation Car_Evaluation_Database-class0
@attribute buying{vhigh,high,med,low}
@attribute maint{vhigh,high,med,low}
@attribute doors{2,3,4,5more}
@attribute persons{2,4,more}
@attribute lug_boot{small,med,big}
@attribute safety{low,med,high}
@attribute class{unacc,groupClass}
@data
low,high,5more,more,big,high,groupClass
low,med,2,2,small,low,unacc
low,med,2,2,small,med,unacc
low,med,2,2,small,high,unacc
low,med,2,2,med,low,unacc
low,med,2,2,med,med,unacc
low,med,2,2,med,high,unacc
low,med,2,2,big,low,unacc
low,med,2,2,big,med,unacc
low,med,2,2,big,high,unacc
low,med,2,4,small,low,unacc
low,med,2,4,small,med,groupClass
low,med,2,4,small,high,groupClass
low,med,2,4,med,low,unacc
low,med,2,4,med,med,groupClass
low,med,2,4,med,high,groupClass
low,med,2,4,big,low,unacc
low,med,2,4,big,med,groupClass
low,med,2,4,big,high,groupClass
low,med,2,more,small,low,unacc
low,med,2,more,small,med,unacc
low,med,2,more,small,high,unacc
low,med,2,more,med,low,unacc
low,med,2,more,med,med,groupClass
low,med,2,more,med,high,groupClass
low,med,2,more,big,low,unacc
low,med,2,more,big,med,groupClass
low,med,2,more,big,high,groupClass
low,med,3,2,small,low,unacc
low,med,3,2,small,med,unacc
low,med,3,2,small,high,unacc
low,med,3,2,med,low,unacc
low,med,3,2,med,med,unacc
low,med,3,2,med,high,unacc
low,med,3,2,big,low,unacc
low,med,3,2,big,med,unacc
low,med,3,2,big,high,unacc
low,med,3,4,small,low,unacc
low,med,3,4,small,med,groupClass
low,med,3,4,small,high,groupClass
low,med,3,4,med,low,unacc
low,med,3,4,med,med,groupClass
low,med,3,4,med,high,groupClass
low,med,3,4,big,low,unacc
low,med,3,4,big,med,groupClass
low,med,3,4,big,high,groupClass
low,med,3,more,small,low,unacc
low,med,3,more,small,med,groupClass
low,med,3,more,small,high,groupClass
low,med,3,more,med,low,unacc
low,med,3,more,med,med,groupClass
low,med,3,more,med,high,groupClass
low,med,3,more,big,low,unacc
low,med,3,more,big,med,groupClass
low,med,3,more,big,high,groupClass
low,med,4,2,small,low,unacc
low,med,4,2,small,med,unacc
low,med,4,2,small,high,unacc
low,med,4,2,med,low,unacc
low,med,4,2,med,med,unacc
low,med,4,2,med,high,unacc
low,med,4,2,big,low,unacc
low,med,4,2,big,med,unacc
low,med,4,2,big,high,unacc
low,med,4,4,small,low,unacc
low,med,4,4,small,med,groupClass
low,med,4,4,small,high,groupClass
low,med,4,4,med,low,unacc
low,med,4,4,med,med,groupClass
low,med,4,4,med,high,groupClass
low,med,4,4,big,low,unacc
low,med,4,4,big,med,groupClass
low,med,4,4,big,high,groupClass
low,med,4,more,small,low,unacc
low,med,4,more,small,med,groupClass
low,med,4,more,small,high,groupClass
low,med,4,more,med,low,unacc
low,med,4,more,med,med,groupClass
low,med,4,more,med,high,groupClass
low,med,4,more,big,low,unacc
low,med,4,more,big,med,groupClass
low,med,4,more,big,high,groupClass
low,med,5more,2,small,low,unacc
low,med,5more,2,small,med,unacc
low,med,5more,2,small,high,unacc
low,med,5more,2,med,low,unacc
low,med,5more,2,med,med,unacc
low,med,5more,2,med,high,unacc
low,med,5more,2,big,low,unacc
low,med,5more,2,big,med,unacc
low,med,5more,2,big,high,unacc
low,med,5more,4,small,low,unacc
low,med,5more,4,small,med,groupClass
low,med,5more,4,small,high,groupClass
low,med,5more,4,med,low,unacc
low,med,5more,4,med,med,groupClass
low,med,5more,4,med,high,groupClass
low,med,5more,4,big,low,unacc
low,med,5more,4,big,med,groupClass
low,med,5more,4,big,high,groupClass
low,med,5more,more,small,low,unacc
low,med,5more,more,small,med,groupClass
low,med,5more,more,small,high,groupClass
low,med,5more,more,med,low,unacc
low,med,5more,more,med,med,groupClass
low,med,5more,more,med,high,groupClass
low,med,5more,more,big,low,unacc
low,med,5more,more,big,med,groupClass
low,med,5more,more,big,high,groupClass
low,low,2,2,small,low,unacc
low,low,2,2,small,med,unacc
low,low,2,2,small,high,unacc
low,low,2,2,med,low,unacc
low,low,2,2,med,med,unacc
low,low,2,2,med,high,unacc
low,low,2,2,big,low,unacc
low,low,2,2,big,med,unacc
low,low,2,2,big,high,unacc
low,low,2,4,small,low,unacc
low,low,2,4,small,med,groupClass
low,low,2,4,small,high,groupClass
low,low,2,4,med,low,unacc
low,low,2,4,med,med,groupClass
low,low,2,4,med,high,groupClass
low,low,2,4,big,low,unacc
low,low,2,4,big,med,groupClass
low,low,2,4,big,high,groupClass
low,low,2,more,small,low,unacc
low,low,2,more,small,med,unacc
low,low,2,more,small,high,unacc
low,low,2,more,med,low,unacc
low,low,2,more,med,med,groupClass
low,low,2,more,med,high,groupClass
low,low,2,more,big,low,unacc
low,low,2,more,big,med,groupClass
low,low,2,more,big,high,groupClass
low,low,3,2,small,low,unacc
low,low,3,2,small,med,unacc
low,low,3,2,small,high,unacc
low,low,3,2,med,low,unacc
low,low,3,2,med,med,unacc
low,low,3,2,med,high,unacc
low,low,3,2,big,low,unacc
low,low,3,2,big,med,unacc
low,low,3,2,big,high,unacc
low,low,3,4,small,low,unacc
low,low,3,4,small,med,groupClass
low,low,3,4,small,high,groupClass
low,low,3,4,med,low,unacc
low,low,3,4,med,med,groupClass
low,low,3,4,med,high,groupClass
low,low,3,4,big,low,unacc
low,low,3,4,big,med,groupClass
low,low,3,4,big,high,groupClass
low,low,3,more,small,low,unacc
low,low,3,more,small,med,groupClass
low,low,3,more,small,high,groupClass
low,low,3,more,med,low,unacc
low,low,3,more,med,med,groupClass
low,low,3,more,med,high,groupClass
low,low,3,more,big,low,unacc
low,low,3,more,big,med,groupClass
low,low,3,more,big,high,groupClass
low,low,4,2,small,low,unacc
low,low,4,2,small,med,unacc
low,low,4,2,small,high,unacc
low,low,4,2,med,low,unacc
low,low,4,2,med,med,unacc
low,low,4,2,med,high,unacc
low,low,4,2,big,low,unacc
low,low,4,2,big,med,unacc
low,low,4,2,big,high,unacc
low,low,4,4,small,low,unacc
low,low,4,4,small,med,groupClass
low,low,4,4,small,high,groupClass
low,low,4,4,med,low,unacc
low,low,4,4,med,med,groupClass
low,low,4,4,med,high,groupClass
low,low,4,4,big,low,unacc
low,low,4,4,big,med,groupClass
low,low,4,4,big,high,groupClass
low,low,4,more,small,low,unacc
low,low,4,more,small,med,groupClass
low,low,4,more,small,high,groupClass
low,low,4,more,med,low,unacc
low,low,4,more,med,med,groupClass
low,low,4,more,med,high,groupClass
low,low,4,more,big,low,unacc
low,low,4,more,big,med,groupClass
low,low,4,more,big,high,groupClass
low,low,5more,2,small,low,unacc
low,low,5more,2,small,med,unacc
low,low,5more,2,small,high,unacc
low,low,5more,2,med,low,unacc
low,low,5more,2,med,med,unacc
low,low,5more,2,med,high,unacc
low,low,5more,2,big,low,unacc
low,low,5more,2,big,med,unacc
low,low,5more,2,big,high,unacc
low,low,5more,4,small,low,unacc
low,low,5more,4,small,med,groupClass
low,low,5more,4,small,high,groupClass
low,low,5more,4,med,low,unacc
low,low,5more,4,med,med,groupClass
low,low,5more,4,med,high,groupClass
low,low,5more,4,big,low,unacc
low,low,5more,4,big,med,groupClass
low,low,5more,4,big,high,groupClass
low,low,5more,more,small,low,unacc
low,low,5more,more,small,med,groupClass
low,low,5more,more,small,high,groupClass
low,low,5more,more,med,low,unacc
low,low,5more,more,med,med,groupClass
low,low,5more,more,med,high,groupClass
low,low,5more,more,big,low,unacc
low,low,5more,more,big,med,groupClass
low,low,5more,more,big,high,groupClass
